person_number,answer1,answer2,answer3,answer4,answer5,answer6,answer7,answer8,answer9
A02071,2,1,3,1,1,1,1,4,1
A02072,4,1,3,1,3,4,3,1,4
A02073,3,1,3,1,4,3,4,1,3
A02074,2,1,1,2,1,1,2,3,1
A02075,3,1,4,1,4,4,3,1,4
A02076,4,1,4,1,3,4,3,1,4
A02077,4,1,4,1,4,4,4,1,4
A02078,2,1,2,1,1,1,1,4,1
A02079,4,1,3,1,4,3,3,1,4
A02080,2,1,3,1,1,1,1,5,1
A02081,3,1,3,1,3,3,4,1,3
A02082,2,1,1,1,1,1,1,3,2
A02083,4,1,4,1,3,3,4,1,4
A02084,3,1,4,1,4,3,3,1,3
A02085,3,1,4,1,3,4,4,1,3
A02086,4,1,4,1,3,4,3,1,4
A02087,4,1,3,1,4,3,4,1,3
A02088,3,1,4,1,4,4,4,1,3
A02089,1,1,1,1,1,1,1,3,2
A02090,2,1,1,2,2,1,2,3,2
A02091,2,1,1,1,1,1,1,3,1
A02092,4,1,4,1,3,3,3,1,4
A02093,4,1,3,1,3,3,3,1,4
A02094,2,1,2,3,1,1,2,2,1
A02095,2,1,1,1,1,1,1,3,1
A02096,3,1,3,1,3,4,3,1,4
A02097,1,1,1,3,1,1,1,2,1
A02098,3,1,3,1,4,4,4,1,3
A02099,1,1,1,1,1,1,2,3,1
A02100,1,1,2,3,1,2,1,2,1
A02101,3,1,3,1,4,3,4,1,3
A02102,1,1,2,3,1,2,1,3,1
A02103,1,1,1,2,2,1,1,3,2
A02104,3,1,3,1,3,4,3,1,3
A02105,2,1,1,1,1,1,2,3,1
A02106,1,1,2,2,1,2,1,3,1
A02107,2,1,3,1,1,1,1,5,1
A02108,3,1,3,1,4,4,3,1,4
A02109,4,1,4,1,4,4,4,1,4
A02110,3,1,4,1,3,4,4,1,3
A02111,1,1,2,1,1,1,1,5,1
A02112,4,1,4,1,3,4,3,1,3
A02113,2,1,2,2,2,2,1,2,2
A02114,2,4,3,1,4,3,3,2,2
A02115,3,1,3,1,4,4,3,1,3
A02116,2,1,1,1,1,1,2,2,2
A02117,2,1,2,3,1,1,1,2,1
A02118,4,1,3,1,4,4,4,1,4
A02119,2,1,2,2,1,1,1,3,1
A02120,3,1,3,1,3,4,4,1,3
A02121,4,1,3,1,3,3,4,1,4
A02122,4,1,4,1,3,3,4,1,3
A02123,1,3,4,1,3,3,4,2,3
A02124,1,1,1,1,1,1,2,3,2
A02125,1,1,1,1,1,1,1,3,1
A02126,2,4,4,1,4,3,4,1,2
A02127,4,1,3,1,4,3,4,1,3
A02128,4,1,4,1,3,3,4,1,3
A02129,4,1,4,1,3,4,4,1,3
A02130,1,1,3,1,1,1,1,4,1
A02131,4,1,3,1,3,3,3,1,4
A02132,2,1,1,1,1,1,2,2,2
A02133,4,1,3,1,3,3,3,1,3
A02134,4,1,3,1,3,3,3,1,4
A02135,3,1,3,1,3,3,4,1,3
A02136,4,1,4,1,3,4,4,1,4
A02137,3,1,4,1,4,4,3,1,4
A02138,2,4,3,1,4,2,4,2,3
A02139,2,1,1,1,1,1,2,3,1
A02140,4,1,4,1,4,4,3,1,4
A02141,2,1,1,2,2,2,2,3,2
A02142,4,1,4,1,3,4,4,1,3
A02143,4,1,3,1,3,4,4,1,3
A02144,4,1,3,1,4,3,3,1,3
A02145,3,1,4,1,3,3,3,1,4
A02146,2,1,1,1,1,1,2,2,1
A02147,2,1,3,1,1,1,1,5,1
A02148,2,1,1,1,1,1,2,3,2
A02149,2,1,1,1,1,1,1,3,1
A02150,3,1,4,1,3,4,3,1,4
A02151,4,1,3,1,4,4,4,1,3
A02152,1,1,3,1,1,1,1,4,1
A02153,4,1,4,1,4,4,3,1,3
A02154,3,1,3,1,4,3,3,1,4
A02155,3,1,3,1,4,4,4,1,4
A02156,1,1,1,3,2,1,2,3,2
A02157,1,1,1,2,1,1,2,3,2
A02158,1,1,3,1,1,1,1,5,1
A02159,2,1,2,3,2,1,2,2,2
A02160,3,1,4,1,3,3,4,1,3
A02161,2,1,2,3,2,1,1,2,2
A02162,1,1,1,1,1,1,2,3,2
A02163,1,1,1,1,1,1,1,2,1
A02164,3,1,3,1,3,4,3,1,3
A02165,4,1,4,1,3,4,4,1,4
A02166,2,1,1,1,1,1,2,2,1
A02167,4,1,3,1,3,4,4,1,3
A02168,3,1,4,1,4,4,3,1,4
A02169,1,4,4,1,3,3,3,2,2
A02170,3,1,3,1,4,3,3,1,3
A02171,1,1,3,1,1,1,1,5,1
A02172,1,1,1,1,1,1,2,3,1
A02173,4,1,3,1,3,4,4,1,4
A02174,3,1,3,1,3,4,4,1,3
A02175,1,1,1,1,1,1,1,2,1
A02176,2,4,3,1,4,3,3,2,2
A02177,2,1,3,1,1,1,1,5,1
A02178,2,1,1,1,1,1,1,2,2
A02179,4,1,4,1,3,3,4,1,4
A02180,1,1,3,1,1,1,1,5,1
A02181,1,1,2,1,1,1,1,5,1
A02182,1,1,1,1,1,1,2,3,2
A02183,3,1,4,1,4,4,3,1,4
A02184,3,1,3,1,3,3,3,1,3
A02185,1,3,3,1,4,2,4,1,3
A02186,4,1,3,1,3,4,4,1,4
A02187,3,1,4,1,4,3,3,1,3
A02188,1,1,1,3,1,2,1,2,2
A02189,3,1,3,1,3,3,4,1,4
A02190,1,3,4,1,4,3,4,1,2
A02191,1,1,2,1,1,1,1,5,1
A02192,4,1,3,1,4,4,4,1,3
A02193,3,1,4,1,4,4,3,1,3
A02194,2,4,3,1,4,3,3,2,2
A02195,4,1,4,1,4,3,4,1,4
A02196,3,1,3,1,3,4,4,1,3
A02197,1,1,1,2,2,2,2,2,2
A02198,1,1,2,1,1,1,1,4,1
A02199,4,1,4,1,4,4,3,1,4
A02200,2,1,1,3,2,1,2,2,2
A02201,1,1,1,1,1,1,1,2,1
A02202,2,4,4,1,3,3,4,1,2
A02203,3,1,3,1,3,4,4,1,3
A02204,2,1,1,2,1,2,1,2,2
A02205,1,1,1,1,1,1,2,3,1
A02206,3,1,4,1,3,3,4,1,3
A02207,4,1,4,1,3,3,3,1,4
A02208,2,1,3,1,1,1,1,4,1
A02209,4,1,4,1,4,3,4,1,3
A02210,4,1,3,1,3,4,4,1,4
A02211,4,1,4,1,3,4,3,1,4
A02212,3,1,4,1,4,4,3,1,3
A02213,3,1,3,1,3,4,3,1,3
A02214,1,4,4,1,3,3,4,2,2
A02215,3,1,3,1,3,4,3,1,3
A02216,3,1,4,1,3,4,4,1,3
A02217,2,1,2,2,1,1,1,3,2
A02218,1,1,2,3,1,1,1,3,1
A02219,3,1,4,1,4,3,3,1,3
A02220,4,1,4,1,3,3,3,1,4
A02221,4,1,4,1,3,3,3,1,4
A02222,3,1,3,1,4,4,3,1,3
A02223,1,1,2,2,2,2,1,2,1
A02224,2,1,1,1,1,1,2,2,2
A02225,1,1,3,1,1,1,1,5,1
A02226,2,1,1,1,1,1,2,2,1
A02227,3,1,4,1,3,4,4,1,3
A02228,1,1,2,1,1,1,1,5,1
A02229,2,1,3,1,1,1,1,4,1
A02230,2,1,1,2,2,2,1,3,2
A02231,1,1,1,1,1,1,2,2,2
A02232,2,1,2,1,1,1,1,5,1
A02233,1,1,1,1,1,1,1,2,2
A02234,2,1,2,2,1,2,1,2,2
A02235,1,1,1,2,2,1,1,2,1
A02236,1,1,1,1,1,1,1,3,1
A02237,2,1,1,1,1,1,1,3,2
A02238,1,1,1,1,1,1,1,3,1
A02239,2,1,1,1,1,1,2,2,1
A02240,3,1,3,1,3,4,3,1,4
A02241,1,1,3,1,1,1,1,4,1
A02242,4,1,3,1,3,4,4,1,4
A02243,3,1,3,1,4,4,3,1,3
A02244,1,1,2,1,1,1,1,5,1
A02245,2,1,1,1,1,1,1,3,2
A02246,2,1,2,3,2,2,1,2,2
A02247,4,1,4,1,3,3,4,1,3
A02248,3,1,4,1,3,4,4,1,3
A02249,1,1,2,1,1,1,1,5,1
A02250,1,1,1,3,2,2,1,2,1
A02251,1,1,1,2,2,2,1,3,1
A02252,4,1,3,1,3,4,3,1,4
A02253,3,1,3,1,3,3,4,1,3
A02254,3,1,3,1,3,3,4,1,3
A02255,4,1,4,1,4,4,3,1,4
A02256,3,1,3,1,3,4,4,1,3
A02257,3,1,3,1,4,4,3,1,4
A02258,1,1,2,2,1,2,1,2,2
A02259,1,4,4,1,3,2,3,1,3
A02260,4,1,4,1,3,3,4,1,4
A02261,3,1,3,1,4,4,3,1,3
A02262,2,4,4,1,4,2,3,1,2
A02263,1,3,3,1,4,3,3,1,2
A02264,4,1,3,1,4,3,4,1,3
A02265,1,1,2,2,2,1,2,3,2
A02266,3,1,3,1,4,3,4,1,4
A02267,2,3,3,1,4,3,3,2,2
A02268,2,1,2,2,1,2,1,2,2
A02269,3,1,3,1,4,4,3,1,3
A02270,2,1,1,1,1,1,1,2,1
A02271,4,1,4,1,3,3,3,1,4
A02272,3,1,4,1,4,4,4,1,3
A02273,4,1,3,1,3,3,4,1,3
A02274,3,1,3,1,3,3,4,1,3
A02275,3,1,4,1,4,4,4,1,4
A02276,3,1,3,1,3,3,4,1,3
A02277,4,1,3,1,3,4,4,1,3
A02278,2,1,1,3,2,1,2,2,2
A02279,1,1,2,2,1,1,2,3,1
A02280,4,1,4,1,3,3,3,1,3
A02281,1,1,2,3,1,2,1,2,1
A02282,2,1,2,3,2,2,1,2,1
A02283,4,1,4,1,4,4,3,1,3
A02284,4,1,3,1,4,3,4,1,4
A02285,3,1,3,1,4,4,4,1,3
A02286,4,1,4,1,4,4,4,1,4
A02287,4,1,4,1,4,4,4,1,4
A02288,4,1,3,1,4,3,3,1,4
A02289,3,1,3,1,4,3,3,1,3
A02290,3,1,4,1,3,3,4,1,3
A02291,3,1,3,1,3,4,4,1,4
A02292,3,1,3,1,4,4,4,1,3
A02293,3,1,3,1,3,3,4,1,4
A02294,1,1,2,3,1,1,2,3,1
A02295,2,1,2,2,2,2,2,3,1
A02296,4,1,3,1,3,4,3,1,4
A02297,4,1,4,1,3,3,4,1,3
A02298,2,1,1,1,1,1,2,2,1
A02299,2,1,1,1,1,1,2,3,2
A02300,2,1,1,1,1,1,1,3,1
A02301,2,4,3,1,4,3,4,2,2
A02302,3,1,3,1,4,4,3,1,3
A02303,3,1,4,1,3,4,4,1,3
A02304,3,1,4,1,3,3,4,1,3
A02305,3,1,4,1,4,4,3,1,4
A02306,2,1,3,1,1,1,1,4,1
A02307,4,1,4,1,4,3,3,1,4
A02308,1,1,2,1,1,1,1,5,1
A02309,1,3,3,1,4,3,4,1,3
A02310,4,1,4,1,3,3,4,1,3
A02311,1,1,2,1,1,1,1,4,1
A02312,2,1,2,3,1,2,2,3,1
A02313,3,1,4,1,3,4,3,1,3
A02314,1,1,3,1,1,1,1,5,1
A02315,4,1,4,1,3,3,3,1,3
A02316,4,1,4,1,3,4,4,1,3
A02317,3,1,3,1,3,3,4,1,4
A02318,1,1,2,1,1,1,1,5,1
A02319,2,1,1,3,1,1,1,3,2
A02320,4,1,4,1,4,4,3,1,3
A02321,2,1,1,1,1,1,2,2,2
A02322,2,1,2,1,1,1,1,4,1
A02323,4,1,3,1,3,4,4,1,3
A02324,1,1,2,3,2,1,2,2,2
A02325,3,1,4,1,3,3,4,1,3
A02326,3,1,4,1,4,4,3,1,4
A02327,1,1,2,1,1,1,1,4,1
A02328,4,1,3,1,4,4,4,1,3
A02329,4,1,4,1,4,3,3,1,4
A02330,1,1,3,1,1,1,1,5,1
A02331,2,1,2,2,1,2,1,2,2
A02332,4,1,4,1,4,3,4,1,4
A02333,2,1,1,2,1,1,1,3,1
A02334,2,1,1,3,2,1,2,2,1
A02335,3,1,4,1,3,4,4,1,3
A02336,4,1,3,1,3,4,4,1,4
A02337,3,1,4,1,4,3,4,1,3
A02338,3,1,4,1,4,3,4,1,4
A02339,2,3,3,1,4,3,4,2,2
A02340,1,1,1,1,1,1,2,3,2
A02341,1,1,2,2,1,2,1,3,1
A02342,2,1,2,1,1,1,1,4,1
A02343,3,1,4,1,3,3,3,1,3
A02344,4,1,4,1,4,3,4,1,4
A02345,1,1,2,3,2,2,1,3,1
A02346,4,1,4,1,3,4,4,1,4
A02347,2,3,4,1,4,3,3,2,3
A02348,3,1,3,1,3,4,4,1,4
A02349,4,1,4,1,3,3,3,1,4
A02350,1,1,3,1,1,1,1,4,1
A02351,2,1,1,1,1,1,1,3,2
A02352,3,1,4,1,4,4,4,1,3
A02353,1,1,2,2,2,1,1,3,2
A02354,2,1,1,3,2,2,1,3,1
A02355,1,1,2,1,1,1,1,5,1
A02356,4,1,4,1,3,3,3,1,4
A02357,2,1,1,2,2,1,1,2,1
A02358,2,1,1,1,1,1,1,2,2
A02359,4,1,4,1,4,3,4,1,3
A02360,4,1,3,1,4,4,3,1,3
A02361,2,1,3,1,1,1,1,4,1
A02362,2,1,1,1,1,1,1,2,2
A02363,4,1,4,1,4,4,3,1,4
A02364,4,1,4,1,3,4,4,1,3
A02365,1,1,1,3,1,2,1,2,2
A02366,2,1,3,1,1,1,1,4,1
A02367,1,1,3,1,1,1,1,5,1
A02368,3,1,3,1,3,4,3,1,4
A02369,2,1,2,2,2,1,1,3,1
A02370,3,1,3,1,4,3,4,1,3
A02371,3,1,3,1,3,3,4,1,4
A02372,2,1,3,1,1,1,1,4,1
A02373,2,1,1,1,1,1,1,3,1
A02374,3,1,3,1,3,3,4,1,3
A02375,2,1,1,2,2,2,1,2,2
A02376,4,1,4,1,4,4,4,1,4
A02377,1,1,2,1,1,1,1,4,1
A02378,4,1,3,1,4,3,3,1,3
A02379,2,1,1,1,1,1,1,2,1
A02380,4,1,4,1,4,3,4,1,3
A02381,3,1,3,1,3,4,4,1,3
A02382,2,1,2,1,1,1,1,5,1
A02383,2,1,2,1,1,1,1,4,1
A02384,3,1,4,1,3,3,4,1,3
A02385,3,1,3,1,3,4,4,1,3
A02386,1,1,2,3,1,1,2,3,2
A02387,3,1,3,1,3,3,3,1,3
A02388,1,1,1,1,1,1,2,2,1
A02389,2,1,3,1,1,1,1,5,1
A02390,2,1,1,3,2,1,1,2,1
A02391,4,1,3,1,3,4,4,1,4
A02392,4,1,3,1,4,3,3,1,3
A02393,2,1,2,1,1,1,1,4,1
A02394,3,1,4,1,3,3,3,1,3
A02395,2,1,3,1,1,1,1,4,1
A02396,2,1,3,1,1,1,1,4,1
A02397,4,1,4,1,3,3,4,1,4
A02398,3,1,4,1,3,4,4,1,3
A02399,4,1,3,1,3,4,4,1,4
A02400,1,1,2,2,1,1,1,3,2
A02401,1,1,1,1,1,1,2,3,1
A02402,4,1,4,1,3,4,3,1,4
A02403,1,1,1,2,1,2,2,3,1
A02404,3,1,4,1,4,3,4,1,3
A02405,3,1,3,1,3,4,4,1,4
A02406,4,1,3,1,4,4,3,1,3
A02407,3,1,4,1,4,4,3,1,3
A02408,1,4,4,1,4,3,3,1,2
A02409,3,1,3,1,4,4,3,1,3
A02410,1,1,2,1,1,1,1,5,1
A02411,2,1,3,1,1,1,1,4,1
A02412,4,1,4,1,4,3,3,1,4
A02413,1,1,1,3,2,1,1,3,2
A02414,4,1,4,1,3,4,4,1,4
A02415,4,1,4,1,3,4,4,1,4
A02416,3,1,4,1,3,4,3,1,3
A02417,2,1,1,1,1,1,2,2,1
A02418,3,1,3,1,4,3,3,1,3
A02419,3,1,4,1,3,3,4,1,4
A02420,3,1,4,1,3,4,3,1,3
A02421,1,1,3,1,1,1,1,5,1
A02422,3,1,3,1,3,3,4,1,3
A02423,2,1,3,1,1,1,1,4,1
A02424,2,1,1,1,1,1,2,2,2
A02425,1,1,3,1,1,1,1,5,1
A02426,3,1,3,1,4,4,4,1,4
A02427,2,3,3,1,4,3,4,1,2
A02428,3,1,4,1,3,4,4,1,4
A02429,3,1,4,1,3,3,3,1,3
A02430,4,1,4,1,3,3,4,1,4
A02431,2,1,1,1,1,1,2,3,2
A02432,3,1,3,1,3,4,3,1,3
A02433,3,1,3,1,4,3,3,1,3
A02434,4,1,4,1,4,3,3,1,4
A02435,3,1,4,1,4,3,3,1,3
A02436,4,1,4,1,3,4,4,1,4
A02437,4,1,4,1,3,4,4,1,3
A02438,1,3,3,1,4,2,4,1,2
A02439,3,1,4,1,3,3,3,1,4
A02440,4,1,3,1,3,3,3,1,4
A02441,3,1,4,1,3,3,3,1,4
A02442,4,1,4,1,4,4,3,1,4
A02443,4,1,4,1,4,3,3,1,3
A02444,4,1,4,1,3,3,4,1,3
A02445,2,1,2,1,1,1,1,5,1
A02446,1,1,2,1,1,1,1,5,1
A02447,3,1,3,1,4,3,4,1,3
A02448,3,1,3,1,3,3,3,1,3
A02449,1,1,1,1,1,1,1,2,1
A02450,4,1,3,1,4,4,3,1,3
A02451,4,1,4,1,4,3,3,1,3
A02452,4,1,3,1,4,4,4,1,4
A02453,2,1,1,1,1,1,2,3,2
A02454,4,1,4,1,3,4,4,1,3
A02455,4,1,4,1,4,4,4,1,4
A02456,3,1,3,1,3,3,3,1,3
A02457,4,1,4,1,3,4,4,1,4
A02458,2,1,1,1,1,1,1,2,1
A02459,1,1,1,3,2,1,2,2,1
A02460,2,1,2,1,1,1,1,4,1
A02461,1,1,1,2,1,2,1,2,1
A02462,4,1,3,1,3,4,4,1,4
A02463,3,1,4,1,4,4,4,1,3
A02464,1,1,2,1,1,1,1,5,1
A02465,2,1,2,3,1,1,1,3,2
A02466,4,1,4,1,3,3,4,1,4
A02467,1,1,1,1,1,1,2,2,2
A02468,2,1,1,1,1,1,1,3,2
A02469,4,1,4,1,4,3,3,1,4
A02470,2,1,2,2,2,1,2,3,1
A02471,4,1,3,1,4,3,4,1,3
A02472,3,1,4,1,4,3,3,1,4
A02473,4,1,4,1,4,3,4,1,4
A02474,3,1,4,1,3,3,4,1,3
A02475,2,1,1,1,1,1,2,3,1
A02476,2,1,1,3,2,1,2,3,2
A02477,1,1,2,2,2,2,1,2,2
A02478,1,3,4,1,4,2,4,1,2
A02479,4,1,4,1,4,3,4,1,3
A02480,3,1,3,1,4,4,3,1,3
A02481,4,1,3,1,4,4,3,1,4
A02482,3,1,3,1,3,3,4,1,3
A02483,1,1,3,1,1,1,1,5,1
A02484,3,1,4,1,3,4,4,1,3
A02485,2,1,1,1,1,1,1,3,1
A02486,2,1,1,1,1,1,1,2,2
A02487,2,1,2,1,1,1,1,4,1
A02488,3,1,3,1,3,4,3,1,3
A02489,4,1,4,1,3,4,3,1,3
A02490,3,1,4,1,3,3,3,1,4
A02491,3,1,3,1,4,3,3,1,4
A02492,3,1,4,1,4,3,4,1,3
A02493,4,1,4,1,3,4,4,1,4
A02494,2,1,1,1,1,1,1,2,2
A02495,3,1,4,1,3,3,4,1,4
A02496,4,1,3,1,4,4,3,1,3
A02497,1,1,2,3,2,2,2,2,2
A02498,3,1,3,1,3,3,3,1,4
A02499,4,1,3,1,4,4,3,1,3
A02500,1,4,4,1,4,3,3,1,3
A02501,2,1,3,1,1,1,1,5,1
A02502,3,1,3,1,3,4,4,1,3
A02503,2,1,2,3,2,2,1,3,1
A02504,4,1,4,1,3,3,4,1,4
A02505,4,1,4,1,4,3,4,1,3
A02506,1,3,4,1,4,2,3,1,2
A02507,2,1,1,1,1,1,1,2,2
A02508,4,1,3,1,4,4,3,1,4
A02509,2,1,1,1,1,1,2,2,1
A02510,3,1,3,1,4,4,3,1,4
A02511,3,1,4,1,4,4,3,1,4
A02512,2,1,2,1,1,1,1,4,1
A02513,4,1,3,1,3,3,3,1,4
A02514,4,1,3,1,4,3,4,1,4
A02515,2,1,1,1,1,1,2,2,2
A02516,4,1,3,1,4,3,4,1,4
A02517,3,1,3,1,3,3,4,1,3
A02518,4,1,4,1,4,4,3,1,3
A02519,1,1,3,1,1,1,1,5,1
A02520,1,1,1,1,1,1,2,2,1
A02521,2,1,1,2,1,2,1,2,1
A02522,3,1,4,1,4,3,3,1,3
A02523,4,1,3,1,3,4,3,1,4
A02524,2,1,2,3,1,2,2,3,2
A02525,1,1,2,1,1,1,1,5,1
A02526,2,1,1,1,1,1,1,3,1
A02527,3,1,3,1,4,3,3,1,3
A02528,1,1,3,1,1,1,1,4,1
A02529,2,1,1,3,1,1,1,2,2
A02530,4,1,3,1,4,4,4,1,4
A02531,2,1,1,2,1,2,2,3,2
A02532,1,1,1,3,2,1,2,2,2
A02533,1,1,1,3,1,2,2,3,1
A02534,3,1,3,1,4,4,3,1,3
A02535,3,1,4,1,3,4,4,1,4
A02536,2,4,4,1,4,3,4,2,2
A02537,4,1,4,1,4,4,3,1,4
A02538,4,1,4,1,3,3,3,1,4
A02539,3,1,4,1,4,3,3,1,4
A02540,1,1,1,1,1,1,1,2,1
A02541,3,1,3,1,3,3,3,1,3
A02542,2,1,3,1,1,1,1,5,1
A02543,1,4,3,1,3,3,3,1,2
A02544,2,1,3,1,1,1,1,5,1
A02545,1,1,3,1,1,1,1,5,1
A02546,1,1,1,1,1,1,1,3,1
A02547,3,1,3,1,3,3,3,1,4
A02548,2,1,2,1,1,1,1,5,1
A02549,3,1,3,1,3,3,4,1,3
A02550,3,1,4,1,4,3,4,1,4
A02551,2,4,3,1,4,3,3,2,3
A02552,3,1,4,1,4,3,4,1,3
A02553,3,1,4,1,4,3,4,1,3
A02554,1,1,1,1,1,1,2,3,1
A02555,2,1,2,3,1,1,2,2,2
A02556,4,1,4,1,3,3,4,1,4
A02557,2,1,2,3,1,1,2,3,1
A02558,3,1,4,1,3,3,3,1,3
A02559,2,1,1,3,1,2,2,3,1
A02560,4,1,4,1,3,4,3,1,3
A02561,3,1,4,1,4,3,4,1,4
A02562,2,1,2,1,1,1,1,4,1
A02563,3,1,4,1,4,3,3,1,3
A02564,2,1,3,1,1,1,1,4,1
A02565,4,1,4,1,4,4,3,1,3
A02566,1,1,1,1,1,1,2,2,2
A02567,3,1,4,1,4,3,3,1,3
A02568,3,1,4,1,4,3,4,1,4
A02569,4,1,3,1,3,3,4,1,4
A02570,1,1,3,1,1,1,1,4,1
A02571,3,1,4,1,4,4,4,1,3
A02572,1,1,3,1,1,1,1,4,1
A02573,2,1,2,2,2,1,2,2,1
A02574,2,1,3,1,1,1,1,4,1
A02575,2,1,1,3,2,2,2,2,2
A02576,4,1,4,1,3,3,4,1,4
A02577,4,1,4,1,4,4,3,1,4
A02578,3,1,4,1,4,4,3,1,4
A02579,4,1,4,1,3,3,4,1,4
A02580,4,1,3,1,4,3,3,1,3
A02581,3,1,3,1,4,3,3,1,3
A02582,2,4,4,1,3,3,4,1,3
A02583,3,1,3,1,4,3,4,1,4
A02584,1,1,2,3,1,1,2,2,2
A02585,4,1,4,1,4,3,4,1,3
A02586,2,1,2,1,1,1,1,4,1
A02587,2,1,3,1,1,1,1,5,1
A02588,2,1,2,3,2,1,1,3,2
A02589,2,4,4,1,4,2,3,2,3
A02590,4,1,3,1,4,3,3,1,3
A02591,2,1,1,1,1,1,1,2,1
A02592,1,3,3,1,3,3,3,1,2
A02593,4,1,4,1,4,3,3,1,3
A02594,3,1,3,1,4,4,3,1,3
A02595,2,3,4,1,4,2,3,2,2
A02596,3,1,3,1,4,4,4,1,3
A02597,4,1,4,1,3,4,3,1,3
A02598,3,1,4,1,4,4,4,1,3
A02599,1,1,2,3,2,1,1,3,1
A02600,1,3,3,1,4,3,4,1,3
A02601,4,1,3,1,4,4,4,1,4
A02602,4,1,4,1,4,4,4,1,4
A02603,4,1,3,1,4,3,4,1,3
A02604,1,1,2,1,1,1,1,4,1
A02605,1,1,1,3,2,2,2,3,1
A02606,2,1,2,2,1,1,1,3,1
A02607,2,1,2,3,1,2,1,3,2
A02608,2,1,2,2,1,2,1,2,2
A02609,2,1,3,1,1,1,1,5,1
A02610,2,1,1,1,1,1,2,2,2
A02611,1,1,2,1,1,1,1,5,1
A02612,3,1,4,1,3,4,3,1,3
A02613,3,1,4,1,4,3,3,1,3
A02614,4,1,3,1,4,4,3,1,4
A02615,4,1,3,1,4,3,4,1,3
A02616,3,1,3,1,3,4,4,1,4
A02617,1,1,1,2,1,2,1,2,2
A02618,1,4,3,1,4,3,4,1,2
A02619,2,1,3,1,1,1,1,4,1
A02620,4,1,3,1,4,3,3,1,4
A02621,1,1,1,1,1,1,2,2,2
A02622,1,1,1,1,1,1,2,2,1
A02623,1,4,4,1,3,2,3,2,2
A02624,1,1,1,2,1,1,2,3,2
A02625,3,1,4,1,3,4,3,1,4
A02626,4,1,3,1,3,4,4,1,4
A02627,4,1,4,1,4,3,3,1,3
A02628,1,1,1,2,2,2,1,2,1
A02629,3,1,4,1,4,4,4,1,4
A02630,4,1,3,1,3,4,4,1,4
A02631,3,1,4,1,3,4,3,1,4
A02632,3,1,4,1,3,4,3,1,4
A02633,4,1,4,1,4,4,3,1,3
A02634,1,1,2,1,1,1,1,5,1
A02635,1,3,3,1,3,3,4,1,3
A02636,2,1,3,1,1,1,1,4,1
A02637,4,1,4,1,4,3,3,1,4
A02638,3,1,3,1,4,3,3,1,4
A02639,1,1,2,1,1,1,1,4,1
A02640,3,1,4,1,4,3,3,1,4
A02641,4,1,4,1,4,3,4,1,3
A02642,2,1,1,1,1,1,2,2,1
A02643,2,1,3,1,1,1,1,4,1
A02644,1,4,3,1,4,2,3,2,2
A02645,2,1,1,2,2,2,2,3,2
A02646,2,3,3,1,4,3,3,1,3
A02647,2,1,3,1,1,1,1,4,1
A02648,4,1,3,1,3,3,4,1,3
A02649,3,1,3,1,4,3,3,1,3
A02650,4,1,3,1,3,4,3,1,3
A02651,4,1,4,1,3,4,3,1,4
A02652,3,1,3,1,4,3,3,1,3
A02653,1,1,2,2,2,2,2,3,1
A02654,4,1,3,1,3,3,3,1,3
A02655,2,1,1,1,1,1,2,3,1
A02656,2,1,1,1,1,1,2,2,2
A02657,3,1,4,1,3,4,4,1,3
A02658,3,1,3,1,4,3,4,1,4
A02659,4,1,4,1,3,3,4,1,4
A02660,2,1,3,1,1,1,1,4,1
A02661,3,1,4,1,3,4,4,1,3
A02662,2,1,1,2,2,2,1,3,1
A02663,1,3,3,1,4,3,4,1,2
A02664,2,4,4,1,4,2,4,1,3
A02665,4,1,3,1,4,3,4,1,4
A02666,4,1,3,1,4,3,3,1,4
A02667,3,1,4,1,4,3,3,1,3
A02668,2,1,1,1,1,1,2,3,2
A02669,4,1,4,1,3,4,4,1,3
A02670,1,1,2,1,1,1,1,4,1
A02671,2,1,1,1,1,1,2,2,1
A02672,3,1,3,1,4,3,4,1,4
A02673,3,1,4,1,4,4,4,1,4
A02674,1,4,4,1,3,2,4,1,2
A02675,3,1,3,1,4,3,3,1,4
A02676,4,1,3,1,4,3,3,1,3
A02677,3,1,4,1,3,3,4,1,4
A02678,2,1,1,1,1,1,2,2,2
A02679,4,1,3,1,4,3,3,1,3
A02680,2,1,1,1,1,1,2,2,2
A02681,4,1,3,1,3,3,4,1,4
A02682,3,1,4,1,3,3,4,1,3
A02683,2,3,3,1,3,2,3,2,2
A02684,4,1,3,1,4,4,3,1,3
A02685,3,1,3,1,3,4,3,1,4
A02686,3,1,3,1,4,3,3,1,4
A02687,3,1,3,1,4,3,3,1,4
A02688,2,1,2,1,1,1,1,4,1
A02689,1,1,3,1,1,1,1,5,1
A02690,2,1,1,1,1,1,2,3,1
A02691,4,1,3,1,4,3,4,1,4
A02692,2,1,2,3,2,1,2,2,2
A02693,4,1,4,1,3,3,4,1,4
A02694,2,1,2,3,2,1,1,3,1
A02695,4,1,3,1,4,4,3,1,4
A02696,4,1,4,1,3,4,4,1,3
A02697,4,1,3,1,3,4,3,1,4
A02698,3,1,3,1,4,3,4,1,3
A02699,3,1,3,1,3,3,3,1,4
A02700,3,1,3,1,3,4,3,1,4
A02701,1,1,2,2,1,2,2,3,1
A02702,2,1,3,1,1,1,1,5,1
A02703,3,1,4,1,4,3,4,1,3
A02704,2,3,4,1,4,2,3,2,3
